26 23
10 18
0
0
0 0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	22	22	22	22	22	22	22	22	22	22	22	22	22	1	1	1	1	1	1	1	1	1
1	1	1	1	22	23	23	23	23	23	23	23	23	23	23	23	22	1	1	1	1	1	1	1	1	1
1	1	1	1	22	23	23	23	23	23	23	23	23	23	23	23	22	1	1	1	1	1	1	1	1	1
1	1	1	1	22	23	23	0	23	23	23	23	23	0	23	23	22	1	1	1	1	1	1	1	1	1
1	1	1	1	22	39	39	39	39	39	39	39	39	39	39	39	22	22	22	22	22	22	22	1	1	1
1	1	1	1	23	39	39	39	39	39	39	39	39	39	39	39	23	23	23	23	23	23	22	1	1	1
1	1	1	1	23	39	39	39	39	39	39	39	39	39	39	39	23	23	23	23	23	23	22	1	1	1
1	1	1	1	23	39	39	39	39	39	39	39	39	39	39	39	23	23	23	0	23	23	22	1	1	1
1	1	1	0	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	22	1	1	1
1	1	1	1	22	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	22	1	1	1
1	1	1	1	22	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	22	1	1	1
1	1	1	1	22	39	39	39	39	39	39	39	39	39	39	39	22	39	39	39	39	39	22	1	1	1
1	1	1	1	22	39	39	39	39	39	39	39	39	39	39	39	22	39	39	39	39	39	22	1	1	1
1	1	1	1	22	39	39	39	39	39	39	39	39	39	39	39	22	22	22	22	22	22	22	1	1	1
1	1	1	1	22	39	39	39	39	39	39	39	39	39	39	39	22	1	1	1	1	1	1	1	1	1
1	1	1	1	22	22	22	22	22	22	39	22	22	22	22	22	22	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0
