14 16
4 9
0
0
0 0
1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	34	34	34	34	34	34	34	1	1	1
1	1	1	1	34	35	35	35	35	35	34	1	1	1
1	1	1	1	34	35	35	35	35	35	34	1	1	1
1	1	1	1	35	35	35	35	35	35	34	1	1	1
1	1	1	1	35	40	40	40	40	40	34	1	1	1
1	1	1	1	35	40	40	40	40	40	34	1	1	1
1	1	1	0	40	40	40	40	40	40	34	1	1	1
1	1	1	1	34	40	40	40	40	40	34	1	1	1
1	1	1	1	34	40	40	40	40	40	34	1	1	1
1	1	1	1	34	34	34	34	34	34	34	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1
33
