19 16
5 9
0
0
0 0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	34	34	34	34	34	34	34	34	34	34	34	34	1	1	1	1
1	1	1	34	35	35	35	35	35	35	35	35	35	35	34	1	1	1	1
1	1	1	34	35	35	35	35	35	35	35	35	35	35	34	1	1	1	1
1	1	1	34	35	35	35	35	35	35	35	35	35	35	35	1	1	1	1
1	1	1	34	40	40	40	40	40	40	40	40	40	40	35	1	1	1	1
1	1	1	34	40	40	40	40	40	40	40	40	40	40	35	1	1	1	1
1	1	1	34	0	40	40	40	40	40	40	40	40	40	40	0	1	1	1
1	1	1	34	40	40	40	40	40	40	40	40	40	40	34	1	1	1	1
1	1	1	34	40	40	40	40	40	40	40	40	40	40	34	1	1	1	1
1	1	1	34	34	34	34	34	34	34	34	34	34	34	34	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30
