15 20
7 15
1
0
0 0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	16	16	16	16	16	16	16	16	16	1	1	1
1	1	1	16	17	17	17	17	17	17	17	16	1	1	1
1	1	1	16	17	17	17	17	17	17	17	16	1	1	1
1	1	1	16	17	17	17	17	17	17	17	16	1	1	1
1	1	1	16	27	27	27	27	27	27	27	16	1	1	1
1	1	1	16	27	27	27	27	27	27	27	16	1	1	1
1	1	1	16	27	27	27	27	27	27	27	16	1	1	1
1	1	1	16	27	27	27	27	27	27	27	16	1	1	1
1	1	1	16	27	27	27	27	27	27	27	16	1	1	1
1	1	1	16	27	27	27	27	27	27	27	16	1	1	1
1	1	1	16	27	27	27	27	27	27	27	16	1	1	1
1	1	1	16	27	27	27	27	27	27	27	16	1	1	1
1	1	1	16	16	16	16	27	16	16	16	16	1	1	1
1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
200 7 15
