18 17
5 13
0
0
0 0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	30	30	30	30	30	30	30	30	30	30	30	30	1	1	1
1	1	1	30	31	31	31	31	31	31	31	31	31	31	31	1	1	1
1	1	1	30	31	31	31	31	31	31	31	31	31	31	31	1	0	1
1	1	1	30	31	31	31	31	31	31	31	31	31	31	31	20	1	1
1	1	1	30	40	40	40	40	40	40	40	40	40	40	20	1	1	1
1	1	1	30	40	40	40	40	40	40	40	40	40	40	30	1	1	1
1	1	1	30	40	40	40	40	40	40	40	40	40	40	30	1	1	1
1	1	1	30	40	40	40	40	40	40	40	40	40	40	30	1	1	1
1	1	1	30	40	40	40	40	40	40	40	40	40	40	30	1	1	1
1	1	1	30	30	19	30	30	30	30	30	30	40	30	30	1	1	1
1	1	1	1	1	19	1	1	1	1	1	1	0	1	1	1	1	1
1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
