13 17
6 12
0
0
0 0
1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	30	30	30	30	30	30	30	1	1	1
1	1	1	31	31	31	31	31	31	30	1	1	1
1	1	1	31	31	31	31	31	31	30	1	1	1
1	1	1	31	31	31	31	31	31	30	1	1	1
1	1	1	20	40	40	40	40	40	30	1	1	1
1	1	20	30	40	40	40	40	40	30	1	1	1
1	0	1	30	40	40	40	40	40	30	1	1	1
1	1	1	30	40	40	40	40	40	30	1	1	1
1	1	1	30	40	40	40	40	40	30	1	1	1
1	1	1	30	30	30	40	30	30	30	1	1	1
1	1	1	1	1	1	0	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1
